,language,link,symbol
154,luganda,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lg.vec,lg
155,luxembourgish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lb.vec,lb
156,macedonian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mk.vec,mk
157,maithili,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mai.vec,mai
158,malagasy,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mg.vec,mg
159,malay,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ms.vec,ms
160,malayalam,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ml.vec,ml
161,maltese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mt.vec,mt
162,manx,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gv.vec,gv
163,maori,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mi.vec,mi
164,marathi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mr.vec,mr
165,marshallese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mh.vec,mh
166,mazandarani,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mzn.vec,mzn
167,meadow mari,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mhr.vec,mhr
168,min dong,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.cdo.vec,cdo
169,min nan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.zh_min_nan.vec,zh_min_nan
170,minangkabau,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.min.vec,min
171,mingrelian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.xmf.vec,xmf
172,mirandese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mwl.vec,mwl
173,moksha,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mdf.vec,mdf
174,moldovan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mo.vec,mo
175,mongolian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mn.vec,mn
176,muscogee,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.mus.vec,mus
177,nahuatl,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nah.vec,nah
178,nauruan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.na.vec,na
179,navajo,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nv.vec,nv
180,ndonga,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ng.vec,ng
181,neapolitan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nap.vec,nap
182,nepali,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ne.vec,ne
183,newar,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.new.vec,new
184,norfolk,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pih.vec,pih
185,norman,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nrm.vec,nrm
186,north frisian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.frr.vec,frr
187,northern luri,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.lrc.vec,lrc
188,northern sami,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.se.vec,se
189,northern sotho,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nso.vec,nso
190,norwegian (bokmål),https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.no.vec,no
191,norwegian (nynorsk),https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nn.vec,nn
192,novial,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.nov.vec,nov
193,nuosu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ii.vec,ii
194,occitan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.oc.vec,oc
195,old church slavonic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.cu.vec,cu
196,oriya,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.or.vec,or
197,oromo,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.om.vec,om
198,ossetian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.os.vec,os
199,palatinate german,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pfl.vec,pfl
200,pali,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pi.vec,pi
201,pangasinan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pag.vec,pag
202,papiamentu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pap.vec,pap
203,pashto,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ps.vec,ps
204,pennsylvania german,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pdc.vec,pdc
205,persian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.fa.vec,fa
206,picard,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pcd.vec,pcd
207,piedmontese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pms.vec,pms
208,polish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pl.vec,pl
209,pontic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pnt.vec,pnt
210,portuguese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.pt.vec,pt
211,quechua,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.qu.vec,qu
212,ripuarian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ksh.vec,ksh
213,romani,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.rmy.vec,rmy
214,romanian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ro.vec,ro
215,romansh,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.rm.vec,rm
216,russian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ru.vec,ru
217,rusyn,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.rue.vec,rue
218,sakha,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sah.vec,sah
219,samoan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sm.vec,sm
220,samogitian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.bat_smg.vec,bat_smg
221,sango,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sg.vec,sg
222,sanskrit,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sa.vec,sa
223,sardinian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sc.vec,sc
224,saterland frisian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.stq.vec,stq
225,scots,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sco.vec,sco
226,scottish gaelic,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.gd.vec,gd
227,serbian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sr.vec,sr
228,serbo_croatian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sh.vec,sh
229,sesotho,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.st.vec,st
230,shona,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sn.vec,sn
231,sicilian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.scn.vec,scn
232,silesian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.szl.vec,szl
233,simple english,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.simple.vec,simple
234,sindhi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sd.vec,sd
235,sinhalese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.si.vec,si
236,slovak,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sk.vec,sk
237,slovenian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sl.vec,sl
238,somali,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.so.vec,so
239,southern azerbaijani,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.azb.vec,azb
240,spanish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.es.vec,es
241,sranan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.srn.vec,srn
242,sundanese,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.su.vec,su
243,swahili,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sw.vec,sw
244,swati,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ss.vec,ss
245,swedish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.sv.vec,sv
246,tagalog,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tl.vec,tl
247,tahitian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ty.vec,ty
248,tajik,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tg.vec,tg
249,tamil,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ta.vec,ta
250,tarantino,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.roa_tara.vec,roa_tara
251,tatar,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tt.vec,tt
252,telugu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.te.vec,te
253,tetum,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tet.vec,tet
254,thai,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.th.vec,th
255,tibetan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.bo.vec,bo
256,tigrinya,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ti.vec,ti
257,tok pisin,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tpi.vec,tpi
258,tongan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.to.vec,to
259,tsonga,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ts.vec,ts
260,tswana,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tn.vec,tn
261,tulu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tcy.vec,tcy
262,tumbuka,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tum.vec,tum
263,turkish,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tr.vec,tr
264,turkmen,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tk.vec,tk
265,tuvan,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tyv.vec,tyv
266,twi,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.tw.vec,tw
267,udmurt,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.udm.vec,udm
268,ukrainian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.uk.vec,uk
269,upper sorbian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.hsb.vec,hsb
270,urdu,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ur.vec,ur
271,uyghur,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ug.vec,ug
272,uzbek,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.uz.vec,uz
273,venda,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.ve.vec,ve
274,venetian,https://s3-us-west-1.amazonaws.com/fasttext-vectors/wiki.vec.vec,vec
